pydev debugger: New process is launching (breakpoints won't work in the new process).
pydev debugger: To debug that process please enable 'Attach to subprocess automatically while debugging?' option in the debugger settings.


DevTools listening on ws://127.0.0.1:61586/devtools/browser/2c42396f-c9b6-42af-819e-87e79cf833e9
获取:课程,level=3,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=3,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=3,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=3,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=3,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=3,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=3,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=3,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=3,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=3,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=3,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:Scratch编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=3,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=3,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=3,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=3,url=https://www.youngmaker.com//Home/Courses/curriculum
